"store_item","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1"
"3_1920096",-9.09054704228607,10.7204161491515,9.64448507507575,-163.776564995966,166.414365152108,2.54079391139724,NA
"3_1920107",0.779368924354853,1.92898431060369,1.55653137954004,-Inf,Inf,0.919248948137172,NA
"3_1920117",0.00644236546506338,2.79538815044592,2.30277067617228,-Inf,Inf,0.567170419220584,NA
"3_1920141",1.23578088986659,4.03191800269339,3.05536987328238,-Inf,Inf,1.09688687787109,NA
"3_1920145",-2.91157487111187,3.00650708902963,2.91157487111187,-Inf,Inf,1.0121288727028,NA
"3_1920284",0.82641926235802,4.46581223516019,3.63712091294976,-19.7397377554738,55.1491658965283,1.14363691137065,NA
"3_1920863",2.90500191129796e-09,2.93435903502779e-09,2.90500191129796e-09,Inf,Inf,6.45927844332381e-09,NA
"3_1922657",-0.389867490530931,2.01751841782998,1.53707861993817,-Inf,Inf,0.605420762547075,NA
"3_1923218",0.493620087893106,1.61442949878834,1.26666094138737,-Inf,Inf,1.18213521125611,NA
"3_1924591",0.154399660442537,2.78352664117272,2.19093050984705,-69.7048841711511,102.647919335475,1.87599639929228,NA
"3_1924661",-9.499706501145e-20,9.8152778844313e-20,9.499706501145e-20,-Inf,Inf,6.80060591513719e-20,NA
"3_1924662",-2.22399666313334,2.2783777090424,2.22399666313334,-Inf,Inf,1.03479111857458,NA
"3_1926105",-0.00600933503844647,0.242136040497082,0.122445668158641,-Inf,Inf,0.0695059233959343,NA
"3_1926106",0.297002972756759,2.02075503200249,1.27890691824563,-Inf,Inf,0.483599206938491,NA
"3_1926107",0.165305166427674,2.00281804630188,1.10796097057834,-Inf,Inf,0.556865800316716,NA
"3_1926217",-9.36177113722109,33.0894329091501,24.9648917697111,-10.1938276983508,16.9479933244321,0.628715500750854,NA
"3_1929795",0.0181588873263631,0.0186830404125784,0.0181588873263631,Inf,Inf,0.00320705092788075,NA
"3_1929797",-6.71923173923282e-09,6.78598048791943e-09,6.71923173923282e-09,-Inf,Inf,1.01281765516396e-09,NA
"3_1930065",14.2307441175787,56.3965380959664,15.8191160368629,-Inf,Inf,7.02182473577401,NA
"3_1930967",-15.2593780700245,22.656541576098,22.0715665156807,-518.733927323457,530.019753970107,5.9461367078816,NA
"3_1931046",-0.11114301253659,0.712381066286649,0.637422836674933,-Inf,Inf,1.97151614548497,NA
"3_1931047",0.481895690632793,0.897642027120086,0.778825921987397,-Inf,Inf,2.48041919048792,NA
"3_1931079",0.095683202503638,0.869523646954154,0.684931514142843,-Inf,Inf,1.02474249790363,NA
"3_1932491",-1.80448625234424,6.74206623743089,6.04852486758518,-24.5358600666112,40.4705063986911,1.57709443318554,NA
"3_1932492",-3.04771761092501,3.57013218523926,3.06467726978638,-132.63424001287,132.876520853747,1.11684802316611,NA
"3_1932493",-2.94808308012457,4.8872814700198,4.23446698326414,-46.0361018853721,53.4958663713149,1.50562293251654,NA
"3_1932980",-4.5616697370315,6.01758974508292,4.94074562761923,-105.127597931238,107.738219351786,1.24616297194264,NA
"3_1933240",0.350946080568056,2.69670619755546,2.23874569123015,-62.460774933785,98.3580062264961,0.947539294753112,NA
"3_1935388",-1.26296698086249e-06,1.26296698086249e-06,1.26296698086249e-06,-Inf,Inf,1.40410499600496e-06,NA
"3_1935459",0.183798120690211,0.644047340977272,0.562259829049787,-Inf,Inf,1.65420955802757,NA
"3_1935465",0.0493706860860205,0.917867494628037,0.766723565416984,-Inf,Inf,1.25192595706834,NA
"3_1936173",2.36119470606817,13.5479806110871,8.7071166360833,-19.2363089864414,46.5085419676762,3.96712349094447,NA
"3_1936510",0.000327573081852859,0.00363788786903821,0.00298819649783348,NA,Inf,0.00275679696023835,NA
"3_1936589",1.18182483183323,3.90061416593791,3.00896233931027,-3.55101496864917,38.3369566634327,1.07145706916399,NA
"3_1936629",-1.13124152902321e-127,1.54727930752974e-127,1.13124152902321e-127,-Inf,Inf,4.43759380287562e-127,NA
"3_1936771",-0.861193963951854,0.879006334628289,0.861193963951854,-Inf,Inf,0.283635554680389,NA
"3_1936931",-0.472183395622662,2.9672007671288,2.59863999578542,-Inf,Inf,0.652194433272544,NA
"3_1937039",0.164493805760493,3.99042331444907,3.30314345569709,-Inf,Inf,0.816897343605253,NA
"3_1937083",-1.62443492763161,3.34594558883227,2.77317289706501,-Inf,Inf,2.19353429972765,NA
"3_1937350",5.81425921174943,6.75499280427717,5.81425921174943,Inf,Inf,3.11362937810111,NA
"3_1937443",-3.10806863794283,3.88413925730069,3.24056559279715,-113.682089468845,115.038210786324,1.27586527827387,NA
"3_1937454",-55.4868905702183,55.9311218653379,55.4868905702183,-Inf,Inf,17.2391659369802,NA
"3_1937608",-22.1982464829892,24.0817215518717,22.9902980685134,-168.148899751943,169.870751024822,4.07524570832392,NA
"3_1937662",2.13802808571757,7.1139591659177,5.57109322067876,-4.19641841436514,34.2426143190568,1.01839457434268,NA
"3_1938021",-0.0519623338740879,0.346595465233313,0.264794888206729,-Inf,Inf,0.555493624172812,NA
"3_1938600",-0.51318006573423,0.776422054675536,0.718716528445172,-Inf,Inf,0.53105777178376,NA
"3_1939144",-5.41546021245648e-06,5.48612402438573e-06,5.41546021245648e-06,-Inf,Inf,2.286053851715e-06,NA
"3_1939221",0.040189327852181,0.484620857238574,0.198629082046445,-Inf,Inf,0.139910265821036,NA
"3_1939239",-0.539519130606384,0.720135103616031,0.70228387817864,-Inf,Inf,1.62130129770906,NA
"3_1939424",0.528789593725666,5.30468118843239,4.20060637771411,-16.0532236893039,39.2768753808786,0.963304456866473,NA
"3_1939531",-2.02396394218771,9.03097739680957,6.8008219968183,-Inf,Inf,1.50212708329816,NA
"3_1940026",-2.11666465918943,3.69187294302099,3.1714112388196,-Inf,Inf,0.933906574751576,NA
"3_1940454",-0.469605570953703,1.24272734968245,0.982050242753026,-Inf,Inf,0.574350596519194,NA
"3_1940466",0.630915430651396,1.56404458539739,1.29996026428236,0.369216910073271,41.2510110722835,0.965713360302136,NA
"3_1942510",2.63448589370967,6.6380107278333,4.9223933463962,-Inf,Inf,1.09273282246891,NA
"3_1943149",-1.9738274507074,2.00514656692499,1.9738274507074,-Inf,Inf,2.00499314729752,NA
"3_1943435",-0.0920591449008874,2.41419810772031,1.93490424674601,-Inf,Inf,1.49135990264369,NA
