"store_item","ME","RMSE","MAE","MPE","MAPE"
"3_1047751",3.08051115603004,8.74394703570683,7.31906351239797,0.471735319328624,46.7092541453959
"3_1047752",-2.4054082614285,6.12828714666345,4.91073675428702,-49.5475797124007,62.93393029746
"3_1047753",-0.4803889898579,12.2413129127919,9.60502542673525,-8.97302510165401,30.6298867110272
"3_1047755",1.01964827779714,7.26422436941569,5.84026930822438,-7.76331824297049,32.7151261288897
"3_1047756",4.69541694435429,7.71119696524831,6.4493233741278,35.4451055217381,58.427647633741
"3_1047757",-0.729566299969008,6.86434960989209,5.05097394678464,-78.8544710626026,107.471836650566
"3_1047758",-0.974964801159425,4.5354809055833,3.64174890577723,-Inf,Inf
"3_1047772",-30.7546425312117,33.6723707731311,31.4350976592775,-493.811283621235,495.071385710246
"3_1047773",-20.9544566489948,23.9935698828913,22.2498399944345,-507.000171248713,509.756306026244
"3_1047774",-3.92479485872192,11.6363704542674,10.4815385972765,-255.311658913651,275.91221646007
"3_1047775",-6.19876397201509,8.55938475396314,7.8667241884423,-Inf,Inf
"3_1047786",-5.16504011436956,9.91759855494463,6.85172453789526,-45.5110632555836,54.3319230455425
"3_1047790",-4.84774805644664,8.56584855089069,6.55793526350268,-64.1006052607729,75.0358225816292
"3_1047793",-6.43342847423332,13.3363127233052,10.7877237513102,-100.67026186169,113.826279260763
"3_1050142",0.131212538021258,2.52291243472513,2.13823323682895,-Inf,Inf
"3_1050370",-0.153574780455177,0.437576099813445,0.42110530433437,-Inf,Inf
"3_1052022",-0.75179781442738,5.05191816265126,4.18491573149927,-20.6684363547781,41.332183744457
"3_1052563",5.79311367742517,12.3302379683083,10.0334969664346,9.01570755045732,34.969308635576
"3_1054129",0.291597855503496,0.7581255190466,0.649911564002444,-Inf,Inf
"3_105574",-4.48372630289413,6.94066083568124,5.54805534051582,-49.8737987323717,55.5741953471931
"3_105575",10.431074630489,23.6783044143552,19.6541504107882,-Inf,Inf
"3_105577",1.10637343820771,3.10374417025719,2.20313420410779,-Inf,Inf
"3_105693",-1.09368365361351,1.69742257721472,1.4345932502362,-Inf,Inf
"3_1057033",2.17009070005131,7.82867921510045,6.68503354224374,-3.02599503986837,33.6988661595703
"3_1057034",3.73707690450316,7.19903589516135,5.86641274737586,15.1630970025405,33.3949894377425
"3_105737",2.89138671045256,4.68018188740626,3.73567474485984,19.7646603884556,36.1485996985498
"3_1057490",0.273146448055253,1.30542903132479,1.0744601026803,-Inf,Inf
"3_1057491",0.758716589589984,4.18327392700902,2.89305738392375,-54.2153730075421,94.5378344044494
"3_1057495",-0.877766053252069,5.25936796871847,4.41208491036411,-30.2039028894522,52.9977669495152
"3_1057515",-0.0783451449829524,2.05551888925367,1.71267995965737,-Inf,Inf
"3_105857",-1.35880872012987,5.43718511141237,4.87268048209132,-20.4669691823126,38.9023192031662
"3_1058820",1.49483857501103,3.09851807738225,2.22706708733811,NA,Inf
"3_1060036",-1.88685251237038,4.51503259417782,3.77557186561288,-Inf,Inf
"3_1062338",-0.11567589056474,1.24460224584304,1.02608312060386,-Inf,Inf
"3_1062374",-2.86772886832902,13.0446817561241,11.047318773683,-Inf,Inf
"3_1062926",-5.19526743274191,8.07530825274593,7.24939469192853,-Inf,Inf
"3_1062927",-7.36045712789354,8.8810287891833,7.50729307822392,-Inf,Inf
"3_1064018",3.85044589541219,7.15105821153969,5.59647383337278,NA,Inf
"3_1066900",19.8143266384514,30.5728036764344,28.5056634573612,NA,Inf
"3_1066901",-11.7478528726527,24.3479541141551,19.7294092677092,-80.6235074247113,93.1430685390087
"3_106716",0.0452804837736634,2.99693965710261,2.46585673861361,-24.0643252132971,51.3535638733116
"3_1070962",-3.5988587410717,5.19463175094106,4.01269701844599,-63.2076267177837,67.0813480575808
"3_1071928",-0.762500182669084,1.68471197481848,1.52497845490391,-Inf,Inf
"3_1071949",4.39438928485903,6.15360322804229,4.94464556395202,89.2521670107245,123.304757103842
"3_1072167",-2.53098213439194,6.00458980115141,5.25356868410325,-Inf,Inf
"3_1072173",0.853313881391727,4.86951484122354,3.6614382125748,-54.0166162617622,90.3610233011468
"3_1074327",8.91726806377262,13.4213410644042,11.8836076795587,NA,Inf
"3_1075283",0.756571343262305,1.41640318427985,0.974011853827674,-Inf,Inf
