"store_item","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1"
"3_1000866",-0.494565217391304,0.924104839427491,0.809782608695652,-Inf,Inf,0.862516796237643,NA
"3_1001305",0.780020703933747,3.08964921933952,2.125,-32.159999033058,72.0260775714968,0.8118072050673,NA
"3_1003679",-2.35895445134576,3.45312048783762,3.0212215320911,-Inf,Inf,0.683742677877089,NA
"3_1004545",0.00219979296066253,0.390318573845865,0.303312629399586,-Inf,Inf,0.982203648894632,NA
"3_1004550",-11.8403209109731,25.4200230974487,23.4288302277433,-79.6607190577506,95.6564837455887,0.651194480537235,NA
"3_1004551",-3.94772256728778,15.4886091521567,11.9491459627329,-56.9177830164796,71.6140663056374,0.55024460078437,NA
"3_1005456",-1.47593167701863,2.40577416131004,2.26319875776398,-Inf,Inf,0.647682918517864,NA
"3_1005458",-0.287655279503106,1.13911777697743,0.931288819875776,-Inf,Inf,0.664714283417252,NA
"3_1005461",-0.589415113871636,1.21181843791069,1.08268633540373,-Inf,Inf,0.785558130574884,NA
"3_1005463",-0.62008281573499,0.62008281573499,0.62008281573499,-Inf,Inf,0.701500489078857,NA
"3_1005464",0.379399585921325,1.79065464168758,1.14117494824017,-Inf,Inf,0.935627718820527,NA
"3_1005465",-0.0612060041407867,1.28689157466466,0.921713250517598,-Inf,Inf,0.742448486435294,NA
"3_1009512",-0.139363354037267,0.624912709463103,0.5625,-Inf,Inf,0.600456305309734,NA
"3_1009539",-0.209239130434783,0.61937449390906,0.573369565217391,-Inf,Inf,0.904087631429383,NA
"3_1009946",-0.152173913043478,0.630996751030434,0.581521739130435,-Inf,Inf,0.787052564180743,NA
"3_1009997",-2.16110248447205,3.47907425882105,3.07725155279503,-Inf,Inf,0.815585758980282,NA
"3_1009998",2.93879399585921,6.84936886874245,4.5782867494824,-28.4522792002003,85.803241848799,1.81513833740777,NA
"3_1010752",-4.31987577639751,4.65417304400105,4.31987577639751,-208.528726708075,208.528726708075,1.12423951570216,NA
"3_1010755",-4.50116459627329,5.32450246246014,4.57104037267081,-121.376331247255,122.011565578142,0.999332569013894,NA
"3_1010757",-2.81262939958592,3.32203012319501,2.85947204968944,-81.1320923296855,81.7176254559795,0.78659935232335,NA
"3_1012787",0.282091097308489,2.37530532504365,1.875,-12.3951305516717,37.6771175504677,0.530764153710766,NA
"3_1012788",2.00323498964803,3.0887366630631,2.57233436853002,6.72283224884157,62.0972283841073,1.0386203621889,NA
"3_1014864",-3.76190476190476,4.75940410531001,3.76190476190476,-80.8321308321308,80.8321308321308,0.614565446967682,NA
"3_1014865",3.23123706004141,6.56216326284138,4.6468685300207,10.0353159339629,27.441326647427,0.698913362136842,NA
"3_1017791",1.01242236024845,4.01870613948458,3.25,-5.70454947808403,36.1339875671689,0.808520237174529,NA
"3_1018516",0.0982142857142857,0.954981568365781,0.8125,-Inf,Inf,0.891993742889647,NA
"3_1018617",-1.41123188405797,2.39289582526733,2.14311594202899,-Inf,Inf,0.738873484836717,NA
"3_1018878",-3.06146480331263,7.26248308031916,5.68724120082816,-Inf,Inf,0.828030742124196,NA
