"store_item","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1"
"3_1336461",1.00952902068905,4.99076726790561,4.00552835557631,-17.1026261279298,52.4236103098642,1.00948938708048,NA
"3_1339795",-0.292460825753608,1.1282877889087,1.0212304128768,-Inf,Inf,0.484983931312065,NA
"3_1342003",0.0653022009154028,3.6269559436356,2.94175691658003,-18.8830648318282,42.0647031672023,0.640811608239216,NA
"3_1342006",1.51539360946504,5.95374997667925,4.64244187908186,3.25571780759733,19.5649120547245,0.561679590435556,NA
"3_1342007",-0.0106090259927571,1.3252961657569,1.11752744719895,-Inf,Inf,0.828911596116057,NA
"3_1342008",-1.09496575560601,3.54377270799777,3.1174914389015,-Inf,Inf,0.692217956405879,NA
"3_1342009",-0.961254903990935,2.15648695811994,1.74327660368028,-Inf,Inf,0.635295287972608,NA
"3_1344514",-0.112025491350428,1.34711320187809,1.08253006592256,-36.4652087873398,59.9748587236436,0.44930817789904,NA
"3_1344755",-0.103113647652679,0.536634115885527,0.405460235739509,-Inf,Inf,0.843252429932384,NA
"3_1345067",-0.162556575516514,1.49881187754558,1.26421694475185,-45.7279609136268,67.6690040016364,0.48220132477689,NA
"3_1345068",0.101666129593877,1.39051264494831,1.18794750853726,-Inf,Inf,0.760696314358633,NA
"3_1345070",-0.301651373444501,1.55032046722636,1.26936926504169,-Inf,Inf,0.507432204128098,NA
"3_1345071",-0.467754798182722,1.75429085369262,1.48450131766687,-51.5589858679821,67.0188468372492,0.48233797021836,NA
"3_1345072",-0.708574193977234,1.51344140107204,1.28594777508067,-Inf,Inf,0.52052835694331,NA
"3_1345337",2.50081889791155,3.73121889998956,2.84660874449019,21.9343347150039,28.6561522754827,0.818527246255375,NA
"3_1345352",0.73094249014117,2.55573030401334,1.86354578053123,2.75273198522046,13.9126989410002,0.376769679072415,NA
"3_1345981",0.850277039063101,3.11612335241561,2.89699494217253,-0.953466567767487,27.9499611529568,0.76403392161697,NA
"3_1346410",-0.310168061978616,1.57869164917955,1.37028969896199,-Inf,Inf,0.674657938519552,NA
"3_1346624",1.09444771683443,4.04739540382257,3.35173692920861,-18.0998028726396,49.2240929876165,0.545894706613723,NA
"3_1346625",-0.355212579408252,2.6989498707511,2.18535090691241,-28.3256298850532,47.063285878623,0.682038688606234,NA
"3_1346626",-0.100269440340645,1.29751902000272,1.1851391152716,-21.1429016941494,40.4153771539538,0.383263822465515,NA
"3_1346627",4.65271874919209,6.04340895183204,5.25862890554308,20.845694575621,27.5780296461876,0.891684571050619,NA
"3_1346628",-0.451882328329521,2.27520545054257,1.92447593062417,-16.0712393091583,30.8798641610043,0.400068779201277,NA
"3_1346629",-0.127594995616698,1.22978625496727,1.0625,-Inf,Inf,0.62064921307506,NA
"3_1346630",-0.681097785389684,2.38338692887457,1.9094297466426,-40.0227748806417,57.8903267801783,0.516278987254164,NA
"3_1346631",-1.36875162692204,2.96192361636415,2.29479749151471,-Inf,Inf,0.649979330587525,NA
"3_1346632",1.37958251333309,3.31086720680465,2.3125,5.04338569443943,33.2348150069462,0.666535991636798,NA
"3_1346636",-2.90585676260195,4.83462418316385,4.35190644032838,-Inf,Inf,0.967201684688367,NA
"3_1346637",-1.4440249022084,4.33950477222897,3.26807183832815,-Inf,Inf,1.03365759553807,NA
"3_1346638",2.35122057951395,5.12826975039989,3.23231061089607,-Inf,Inf,1.0421582824974,NA
"3_1346643",-0.301673578751565,1.13128735898534,1.01466421737226,-Inf,Inf,0.572268246501598,NA
"3_1347810",0.448270676262997,1.67919627600755,1.06703940288041,-Inf,Inf,0.562981423608306,NA
"3_1347811",-0.265692714194626,0.970405259866262,0.873072267822985,-Inf,Inf,0.634423748832214,NA
"3_1347977",-0.0395144413845754,2.13200809041911,1.72484459320892,-22.3520782705674,42.7737677924876,0.595092968339869,NA
"3_1348487",-3.13653849896175,5.07408749571289,4.37366322463401,-149.102062007311,157.198773922031,1.03521830065534,NA
"3_1348510",2.24008655022245,5.77567512151834,3.42119707372409,13.5153580326938,48.037350192793,1.3953741234758,NA
"3_1348983",0.0971979694250261,3.62237239243501,2.86085543236022,-26.193575242002,52.5887991117109,0.641730704841379,NA
"3_1349806",-0.928647531209971,0.928651591640149,0.928647531209971,-Inf,Inf,0.251161678143952,NA
"3_1349807",0.984971916955546,2.8970464348777,2.03980750246536,-Inf,Inf,0.598120401057148,NA
"3_1349808",0.177401224180603,5.2433917890071,3.73244079540462,-Inf,Inf,0.750219822446462,NA
"3_1350565",1.23976678602613,2.44708599966819,1.97526364226368,10.8506113161457,29.5439414574336,0.712039377954594,NA
"3_1351227",-0.169710025821803,1.24745550736867,0.8125,-Inf,Inf,0.51078990228013,NA
"3_1351305",-0.971921211739535,2.89815819351774,2.4915978322249,-32.5328198053662,48.7968580075216,0.509837130639743,NA
"3_1352751",-0.118637033783752,1.8238900037516,1.38823888766891,-Inf,Inf,0.922624329614666,NA
"3_1352754",-0.0816730291326131,1.21305986401649,1.03604325728315,-Inf,Inf,0.635993475367839,NA
"3_1352758",1.26642225508036e-20,1.26658037508885e-20,1.26642225508036e-20,Inf,Inf,6.71482129754145e-20,NA
"3_1353189",0.090992549190158,7.18819202080857,6.25227611369941,-107.785880950039,142.093735148026,0.609008423308765,NA
"3_1353191",0.408673712054814,1.64144995443805,1.3125,-Inf,Inf,0.603987839771102,NA
"3_1353969",0.64242649533351,2.84540077175545,2.13626837616662,-Inf,Inf,1.43358760987538,NA
"3_1354380",6.31171543122175,7.50766910796705,6.68691157341631,32.8444824409085,37.0133284652925,1.19830448808667,NA
"3_1354381",-2.31262340345975,3.0753214476262,2.64851462716234,-75.2785158226054,79.2059101819885,0.587814308926324,NA
"3_1354382",-3.29376804158829,5.66281763598295,5.04468123216098,-58.2283568150898,69.0975862211343,0.951919708454311,NA
"3_1354383",-2.60718243467102,4.17625516213118,3.56122935943417,-140.897218050349,147.778637140325,0.873116446101112,NA
"3_1354384",0.224176286201996,3.49117326906754,2.59682636497671,-42.6830971011526,66.051647055806,0.711509779160287,NA
"3_1354385",-0.0855899861529768,1.31607715434613,1.00371683146439,-Inf,Inf,0.510857986478449,NA
"3_1354386",-3.63750860934253,4.36679504322772,3.92794050892567,-Inf,Inf,2.8202846660069,NA
"3_1354387",0.564137922333492,1.47660465010128,1.14305282291932,-Inf,Inf,0.708443143299385,NA
